qname	promoter	3_prime_element	W1_vs_W1_prime	aligner_IR1_repeat_count	nucleotide_IR1_repeat_count
837f676e-ad33-4c8a-84eb-fbfba3afeaf0	Cp	W1	Y2	3	3
0e14eb38-f477-4f66-b601-bc134c3ef620	Cp	W1	YH	6	6.2
61bddd87-5f21-4378-b67c-760d27fadd7a	Cp	W1	BHRF1.2	5	6.2
f55674ef-43ed-45b5-9b21-cb0b12c32fff	Cp	W1	YH	6	6.1
d9de98d3-4e75-4b2f-9ced-9bf4715104a8	Cp	W1	YH	6	6
9eac5bcc-6340-4974-b958-6f4334c0ae34	Cp	W1	YH	5	6.1
250a24d8-812b-442f-a7c7-821ecaf430a2	Cp	W1	Y2	5	6.2
8e2a452e-0fa7-475a-86e6-766222df163f	Cp	W1	BHRF1.2	6	6.1
9b52e0dc-9015-43db-94d0-df1ce930dd2b	Cp	W1	YH	6	6.3
d9c575cb-c0bb-45bc-9b0b-744339a6093d	Cp	W1	Y3	5	6.1
c99f4514-a316-420b-9752-74af1267e20d	Cp	W1	YH	6	6.1
158b48f7-6fff-4d3c-ac09-f80856a1ba81	Cp	W1	YH	6	6.2
a38e96d9-72f1-4146-8e49-e726988a0ecb	Cp	W1	U	5	6.1
816d2c82-d1fe-4e8c-b4a5-73742146f810	Cp	W1	YH	5.5	5.3
57f42ada-4553-4d42-9b75-fa09897b3aa3	Cp	W1	YH	5	6
979b172b-456c-41f5-8d8e-6daefb377e3a	Cp	W1	BHRF1.2	6	6.5
5d65e8ef-38cc-4a10-a92a-7d351229746d	Cp	W1_prime	Y3	4.5	6.1
c45a89a6-3117-4e40-a140-12303e09ef27	Cp	W1	YH	4.5	6
238f4c00-a9bd-4fad-82e4-9f39a8b9f10a	Cp	W1_prime	YH	5.5	5.4
3da6e053-88c1-4172-b009-d09f5c3ef125	Cp	W1_prime	YH	6	6.1
77c76ee9-dc95-4f16-b22f-baeb5c1f88d6	Cp	W1_prime	YH	6	6
c620d288-3b15-4fde-99be-7b9fec52e6ee	Cp	W1	YH	5	6.1
441925b4-c0d2-4743-bc98-308324bab42d	Cp	W1_prime	Y2	5	6.1
b06a03dc-ad83-43ac-8c02-02db5d72047f	Cp	W1	YH	6	6.2
76888bdf-263d-44ac-99e3-59bcaeb67b2f	Cp	W1	Y2	6	6.1
e24126f4-279e-47e9-94dd-c2ff5b200b48	Cp	W1	YH	6	6.2
0b37bab8-cb72-4a62-b89b-44740a3b1c53	Cp	W1	YH	5	6
88314455-87e7-4877-a92e-a4c327cb8f2a	Cp	W1	YH	5	6.1
dce657f2-942c-4e87-acf3-1d65f528a47a	Cp	W1	YH	5	6.1
3233d495-7a80-4aaf-8141-eceeff3523b0	Cp	W1	YH	6	6.2
5218014a-ef30-44ac-a373-2a9e413c4eaf	Cp	W1	YH	6	6.1
5e46b7d3-4ff6-4eed-900a-e90ab57970f8	Cp	W1	BHRF1.2	6	6.1
57b37f98-43c8-474b-bad0-a48632532907	Cp	W1_prime	YH	6	6.1
