qname	C1	C2	C2_delta	W0	W1	W1_prime	W2	W2_delta	W0	W1	W1_prime	W2	W2_delta	W0	W1	W1_prime	W2	W2_delta	W0	W1	W1_prime	W2	W2_delta	W0	W1	W1_prime	W2	W2_delta	W0	W1	W1_prime	W2	W2_delta	Y1	Y2	Y3	YH	EBNA2_delta	miR-BHRF1-1_processed	BHRF1.2	miR-BHRF1-2_processed	miR-BHRF1-3_processed	U
837f676e-ad33-4c8a-84eb-fbfba3afeaf0	132	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	128	0	0	0	58	128	0	0	66	0	129	0	36	122	0	0	0	0	0	0	0	0
0e14eb38-f477-4f66-b601-bc134c3ef620	139	32	0	0	66	0	128	0	0	63	0	132	0	0	66	0	134	0	0	65	0	130	0	0	66	0	134	0	0	66	0	131	0	39	125	0	1612	0	0	0	0	0	0
61bddd87-5f21-4378-b67c-760d27fadd7a	141	0	24	0	66	0	136	0	0	66	0	125	0	0	66	0	320	0	0	65	0	129	0	0	66	0	136	0	0	0	0	0	0	33	116	0	0	0	0	1209	0	0	0
f55674ef-43ed-45b5-9b21-cb0b12c32fff	127	32	0	0	66	0	129	0	0	66	0	128	0	0	63	0	128	0	0	62	0	125	0	0	66	0	126	0	0	63	0	126	0	35	119	0	1655	0	0	0	0	0	0
d9de98d3-4e75-4b2f-9ced-9bf4715104a8	126	29	0	0	66	0	125	0	0	62	0	0	110	0	57	0	133	0	0	62	0	126	0	0	63	0	131	0	0	66	0	140	0	41	122	0	1623	0	0	0	0	0	0
9eac5bcc-6340-4974-b958-6f4334c0ae34	122	0	24	0	71	0	313	0	0	63	0	134	0	0	64	0	128	0	0	61	0	129	0	0	60	0	125	0	0	0	0	0	0	33	118	0	1657	0	0	0	0	0	0
250a24d8-812b-442f-a7c7-821ecaf430a2	134	32	0	0	0	0	0	0	0	70	0	132	0	0	66	0	131	0	0	62	0	129	0	0	66	0	316	0	0	63	0	143	0	33	127	0	0	0	0	0	0	0	0
8e2a452e-0fa7-475a-86e6-766222df163f	140	32	0	0	66	0	128	0	0	66	0	128	0	0	63	0	126	0	0	65	0	129	0	0	69	0	121	0	0	63	0	132	0	33	119	0	0	0	0	1192	0	0	0
9b52e0dc-9015-43db-94d0-df1ce930dd2b	128	32	0	0	66	0	142	0	0	69	0	127	0	0	66	0	134	0	0	65	0	134	0	0	63	0	132	0	0	62	0	136	0	0	126	0	1624	0	0	0	0	0	0
d9c575cb-c0bb-45bc-9b0b-744339a6093d	130	32	0	0	66	0	0	0	0	0	0	130	0	0	63	0	132	0	0	67	0	128	0	0	0	58	315	0	0	65	0	131	0	36	124	76	0	0	0	0	0	0	0
